Week,Posts,PostsInWeek
2,"Now witness the sexism of this fully stocked and operational  Target  store.   Hasbro  CEO   WhereIsRey  ""Now witness the sexism of this fully stocked and operational  Target  store.""   Hasbro  CEO   WhereIsRey  ",314
2,Avengers set  no Black Widow Guardians set  no Gamora  StarWars   no Rey. She's THE MAIN CHARACTER.   WhereIsRey  Avengers set  no Black Widow Guardians set  no Gamora  StarWars   no Rey. She's THE MAIN CHARACTER.   WhereIsRey  ,314
2,"It's the LegionofLeia Podcast Ep. 17: w/ guest claudiadolp, Warcraft,   StarWars  Rumors and   WhereIsRey   http://legionofleia.com/2015/11/legionofleiapodcastep17claudiadolphwarcraft StarWars rumorsand  WhereIsRey  / … whorebeast",314
2,"As the proud owner of an original Princess Leia action figure (man jaw & all) I say,   WhereIsRey    Hasbro  http://legionofleia.com/2015/11/  WhereIsRey   Hasbro  Target arewereallygoingtostart StarWars thisway/ …",314
2,Where the hell is Rey??   WhereIsRey   http://legionofleia.com/2015/11/  WhereIsRey   Hasbro  Target arewereallygoingtostart StarWars thisway/ …,314
2,the fact that there's already a   WhereIsRey   hashtag breaks my heart into little bitty bb8sized piecesthe fact that there's already a   WhereIsRey   hashtag breaks my heart into little bitty bb8sized pieces,314
2,  WhereIsRey   http://legionofleia.com/2015/11/  WhereIsRey   Hasbro  Target arewereallygoingtostart StarWars thisway/ …  WhereIsRey   http://legionofleia.com/2015/11/  WhereIsRey   Hasbro  Target arewereallygoingtostart StarWars thisway/ …,314
2,"There was such progress... then a step back. With the way things were going I didn't think I'd ever see   WhereIsRey  .To reiterate,  Hasbro  and  Target  are releasing this set with no female characters. No Leia, Rey, Phasma: http://legionofleia.com/2015/11/  WhereIsRey   Hasbro  Target arewereallygoingtostart StarWars thisway/ …",314
2,"Legion of Leia Podcast Ep. 17: Claudia Dolph, Warcraft,  StarWars  Rumors and   WhereIsRey   http://bit.ly/1iXjcvE Legion of Leia Podcast Ep. 17: Claudia Dolph, Warcraft,  StarWars  Rumors and   WhereIsRey   http://bit.ly/1iXjcvE ",314
2, Hasbro    WhereIsRey  View conversation ,314
2,This makes me angry! Gender segregated/exclusive toys.   StarWars  This makes me angry! Gender segregated/exclusive toys.   StarWars   Hasbro    Disney  fix this!   WhereIsRey   http://legionofleia.com/2015/11/  WhereIsRey   Hasbro  Target arewereallygoingtostart StarWars thisway/ …,314
2,ARE YOU KIDDING ME   WhereIsRey  Avengers set  no Black Widow Guardians set  no Gamora  StarWars   no Rey. She's THE MAIN CHARACTER.   WhereIsRey  ,314
2,  WhereIsRey  ,314
2,Where the hell is Rey??   WhereIsRey   http://legionofleia.com/2015/11/  WhereIsRey   Hasbro  Target arewereallygoingtostart StarWars thisway/ …Where the hell is Rey??   WhereIsRey   http://legionofleia.com/2015/11/  WhereIsRey   Hasbro  Target arewereallygoingtostart StarWars thisway/ …,314
2,. Target   Hasbro News   WhereIsRey   in your  StarWars  action figure set? http://legionofleia.com/2015/11/  WhereIsRey   Hasbro  Target arewereallygoingtostart StarWars thisway/ …,314
2,"I'm a day late but so goddamn over it I could cry.  Target  and  Hasbro , my son is getting none of these.   WhereIsRey   http://www.heroic girl .com/ Target whereexclusivemeansexcluding girl / …",314
2,Sadly so predictable ...   WhereIsRey  Sadly so predictable ...   WhereIsRey  ,314
2,Was thinking   WhereIsRey   was a little precious until I read this http://legionofleia.com/2015/11/  WhereIsRey   Hasbro  Target arewereallygoingtostart StarWars thisway/ … SO YEAH! WHERE IS REY???Was thinking   WhereIsRey   was a little precious until I read this http://legionofleia.com/2015/11/  WhereIsRey   Hasbro  Target arewereallygoingtostart StarWars thisway/ … SO YEAH! WHERE IS REY???,314
